# wavelength_um flux_jy
0.320100 9.530801e+01
0.320400 9.606317e+01
0.320700 9.700668e+01
0.321000 9.865931e+01
0.321300 9.982252e+01
0.321600 9.797009e+01
0.321900 9.406337e+01
0.322200 9.370813e+01
0.322200 2.221601e+02
0.322500 9.745453e+01
0.322800 2.177997e+02
0.322800 9.792850e+01
0.323100 9.338552e+01
0.323400 2.138483e+02
0.323400 9.611547e+01
0.323700 9.827705e+01
0.324000 2.116330e+02
0.324000 9.405457e+01
0.324300 9.729306e+01
0.324600 2.098580e+02
0.324600 9.499038e+01
0.324900 9.317899e+01
0.325200 2.067380e+02
0.325200 9.391102e+01
0.325500 9.420682e+01
0.325800 2.040790e+02
0.325800 9.508130e+01
0.326100 9.403339e+01
0.326400 2.032842e+02
0.326400 9.358865e+01
0.326700 9.422498e+01
0.327000 9.326552e+01
0.327000 2.020885e+02
0.327300 9.383640e+01
0.327600 1.995253e+02
0.327600 9.059930e+01
0.327900 9.398468e+01
0.328200 1.976995e+02
0.328200 9.442385e+01
0.328500 9.331408e+01
0.328800 1.969436e+02
0.328800 9.474276e+01
0.329100 9.415904e+01
0.329400 1.955104e+02
0.329400 9.640761e+01
0.329700 9.084896e+01
0.330000 1.934980e+02
0.330000 9.426099e+01
0.330300 9.330198e+01
0.330600 9.073776e+01
0.330600 1.923247e+02
0.330900 9.024970e+01
0.331200 1.920022e+02
0.331200 9.222389e+01
0.331500 8.978449e+01
0.331800 9.005446e+01
0.331800 1.915110e+02
0.332100 9.179649e+01
0.332400 1.905382e+02
0.332400 8.920486e+01
0.332700 9.103258e+01
0.333000 9.251545e+01
0.333000 1.896882e+02
0.333300 8.892032e+01
0.333600 1.890464e+02
0.333600 8.945026e+01
0.333900 8.961694e+01
0.334200 1.878810e+02
0.334200 8.981094e+01
0.334500 8.720453e+01
0.334800 1.862539e+02
0.334800 8.885651e+01
0.335100 9.034839e+01
0.335400 8.820139e+01
0.335400 1.849429e+02
0.335700 9.105556e+01
0.336000 1.840926e+02
0.336000 9.200214e+01
0.336300 9.158723e+01
0.336600 9.259724e+01
0.336600 1.835368e+02
0.336900 9.178324e+01
0.337200 1.829647e+02
0.337200 9.215859e+01
0.337500 9.182892e+01
0.337800 9.313359e+01
0.337800 1.819173e+02
0.338100 9.122397e+01
0.338400 1.809583e+02
0.338400 9.119141e+01
0.338700 9.105702e+01
0.339000 1.806205e+02
0.339000 9.234043e+01
0.339300 9.286514e+01
0.339600 1.803170e+02
0.339600 9.315528e+01
0.339900 9.261921e+01
0.340200 9.252922e+01
0.340200 1.800366e+02
0.340500 9.238655e+01
0.340800 1.798606e+02
0.340800 9.253778e+01
0.341100 9.269628e+01
0.341400 9.271247e+01
0.341400 1.791692e+02
0.341700 9.320827e+01
0.342000 1.780491e+02
0.342000 9.337924e+01
0.342300 9.286286e+01
0.342600 9.350367e+01
0.342600 1.773307e+02
0.342900 9.396744e+01
0.343200 1.772816e+02
0.343200 9.362249e+01
0.343500 9.237660e+01
0.343800 1.776751e+02
0.343800 9.330356e+01
0.344100 9.345693e+01
0.344400 1.781312e+02
0.344400 9.370164e+01
0.344700 9.327689e+01
0.345000 9.415693e+01
0.345000 1.781374e+02
0.345300 9.420528e+01
0.345600 1.776646e+02
0.345600 9.309381e+01
0.345900 9.430173e+01
0.346200 1.772642e+02
0.346200 9.435000e+01
0.346500 9.398613e+01
0.346800 9.410166e+01
0.346800 1.771376e+02
0.347100 9.437057e+01
0.347400 1.769342e+02
0.347400 9.492284e+01
0.347700 9.444636e+01
0.348000 1.765743e+02
0.348000 9.431324e+01
0.348300 9.438564e+01
0.348600 1.764216e+02
0.348600 9.482166e+01
0.348900 9.483223e+01
0.349200 1.763058e+02
0.349200 9.467119e+01
0.349500 9.555570e+01
0.349800 9.565334e+01
0.349800 1.755508e+02
0.350100 9.549244e+01
0.350400 1.743875e+02
0.350400 9.486889e+01
0.350700 9.554468e+01
0.351000 9.467193e+01
0.351000 1.737502e+02
0.351300 9.443736e+01
0.351600 1.735804e+02
0.351600 9.518213e+01
0.351900 9.516988e+01
0.352200 9.466912e+01
0.352200 1.731434e+02
0.352500 9.409287e+01
0.352800 1.725524e+02
0.352800 9.459283e+01
0.353100 9.395541e+01
0.353400 1.721598e+02
0.353400 9.445627e+01
0.353700 9.400040e+01
0.354000 1.717127e+02
0.354000 9.328211e+01
0.354300 9.368919e+01
0.354600 9.380638e+01
0.354600 1.710691e+02
0.354900 9.377305e+01
0.355200 1.704241e+02
0.355200 9.364795e+01
0.355500 9.307426e+01
0.355800 9.376245e+01
0.355800 1.698889e+02
0.356100 9.392079e+01
0.356400 1.694614e+02
0.356400 9.369870e+01
0.356700 9.381156e+01
0.357000 9.403296e+01
0.357000 1.690181e+02
0.357300 9.389421e+01
0.357600 1.682875e+02
0.357600 9.365108e+01
0.357900 9.368258e+01
0.358200 9.347285e+01
0.358200 1.672161e+02
0.358500 9.330405e+01
0.358800 1.661258e+02
0.358800 9.309630e+01
0.359100 9.296348e+01
0.359400 1.655077e+02
0.359400 9.255253e+01
0.359700 9.276936e+01
0.360000 1.655154e+02
0.360000 9.231212e+01
0.360300 9.249306e+01
0.360600 9.232373e+01
0.360600 1.653581e+02
0.360900 9.182721e+01
0.361200 1.642756e+02
0.361200 9.204332e+01
0.361500 9.220233e+01
0.361800 9.158699e+01
0.361800 1.630620e+02
0.362100 9.202174e+01
0.362400 1.626282e+02
0.362400 9.193836e+01
0.362700 9.190402e+01
0.363000 1.623704e+02
0.363000 9.207542e+01
0.363300 9.260980e+01
0.363600 1.618809e+02
0.363600 9.196394e+01
0.363900 9.199148e+01
0.364200 1.617263e+02
0.364200 9.241182e+01
0.364500 9.287902e+01
0.364800 1.615787e+02
0.364800 9.251020e+01
0.365100 9.259484e+01
0.365400 9.262782e+01
0.365400 1.610540e+02
0.365700 9.224873e+01
0.366000 9.202228e+01
0.366000 1.610176e+02
0.366300 9.262552e+01
0.366600 9.262875e+01
0.366600 1.617808e+02
0.366900 9.275359e+01
0.367200 1.627777e+02
0.367200 9.330750e+01
0.367500 9.381959e+01
0.367800 9.325185e+01
0.367800 1.640477e+02
0.368100 9.477551e+01
0.368400 1.660124e+02
0.368400 9.496461e+01
0.368700 9.493522e+01
0.369000 9.509573e+01
0.369000 1.687866e+02
0.369300 9.587524e+01
0.369600 1.725572e+02
0.369600 9.699801e+01
0.369900 9.785739e+01
0.370200 9.929198e+01
0.370200 1.775653e+02
0.370500 1.013659e+02
0.370800 1.020238e+02
0.370800 1.835995e+02
0.371100 1.042281e+02
0.371400 1.074802e+02
0.371400 1.903404e+02
0.371700 1.078221e+02
0.372000 1.982383e+02
0.372000 1.088641e+02
0.372300 1.135398e+02
0.372600 1.185019e+02
0.372600 2.075430e+02
0.372900 1.184311e+02
0.373200 2.165936e+02
0.373200 1.164654e+02
0.373500 1.208235e+02
0.373800 1.311042e+02
0.373800 2.248101e+02
0.374100 1.378513e+02
0.374400 2.338919e+02
0.374400 1.343050e+02
0.374700 1.269323e+02
0.375000 1.272266e+02
0.375000 2.419565e+02
0.375300 1.389859e+02
0.375600 1.545588e+02
0.375600 2.466305e+02
0.375900 1.639670e+02
0.376200 1.601963e+02
0.376200 2.547903e+02
0.376500 1.474156e+02
0.376800 2.700908e+02
0.376800 1.357872e+02
0.377100 1.373357e+02
0.377400 1.533176e+02
0.377400 2.824694e+02
0.377700 1.727556e+02
0.378000 2.828094e+02
0.378000 1.883219e+02
0.378300 1.956571e+02
0.378600 1.935023e+02
0.378600 2.788063e+02
0.378900 1.821658e+02
0.379200 2.861840e+02
0.379200 1.633287e+02
0.379500 1.467911e+02
0.379800 1.441871e+02
0.379800 3.080115e+02
0.380100 1.602730e+02
0.380400 1.826065e+02
0.380400 3.298649e+02
0.380700 2.019563e+02
0.381000 2.149964e+02
0.381000 3.340265e+02
0.381300 2.235123e+02
0.381600 3.184396e+02
0.381600 2.253424e+02
0.381900 2.233935e+02
0.382200 2.173388e+02
0.382200 2.982251e+02
0.382500 2.058532e+02
0.382800 2.938195e+02
0.382800 1.857476e+02
