# wavelength_um flux_jy
0.115602 3.606989e+01
0.116689 3.579143e+01
0.117777 3.211983e+01
0.118864 2.093668e+01
0.119952 7.696730e+00
0.121039 1.906107e+00
0.122126 1.016371e+00
0.123214 9.743424e+00
0.124301 2.945700e+01
0.125389 4.180806e+01
0.126476 3.262064e+01
0.127564 4.861375e+01
0.128651 5.707743e+01
0.129739 5.193560e+01
0.130826 3.923635e+01
0.131913 6.637548e+01
0.133001 5.822302e+01
0.134088 7.054492e+01
0.135176 7.010333e+01
0.136263 6.841243e+01
0.137351 6.782555e+01
0.138438 7.031054e+01
0.139526 7.442475e+01
0.140613 6.930977e+01
0.141700 7.281197e+01
0.142788 7.672227e+01
0.143875 7.648761e+01
0.144963 8.287476e+01
0.146050 8.384051e+01
0.147138 7.445282e+01
0.148225 7.284162e+01
0.149313 8.129774e+01
0.150400 8.078387e+01
0.151487 7.995422e+01
0.152575 8.048437e+01
0.153662 7.474547e+01
0.154750 8.048115e+01
0.155837 7.705946e+01
0.156925 7.704558e+01
0.158012 8.203093e+01
0.159099 8.135171e+01
0.160187 8.167733e+01
0.161274 7.806059e+01
0.162362 8.248358e+01
0.163449 8.611980e+01
0.164537 8.503131e+01
0.165624 8.238991e+01
0.166712 8.124690e+01
0.167799 8.863817e+01
0.168886 9.015075e+01
0.169974 9.115540e+01
0.171061 8.581305e+01
0.172149 8.052007e+01
0.173236 8.438031e+01
0.174324 9.157802e+01
0.175411 8.971463e+01
0.176499 8.718874e+01
0.177586 8.708411e+01
0.178673 9.356555e+01
0.179761 9.863239e+01
0.180848 9.929189e+01
0.181936 9.860470e+01
0.183023 9.537886e+01
0.184111 9.463774e+01
0.185198 9.008180e+01
0.186286 9.632250e+01
0.187373 1.003148e+02
0.188460 1.018453e+02
0.189548 1.005581e+02
0.190635 1.028188e+02
0.191723 1.049818e+02
0.192810 7.191795e+01
0.193898 1.056432e+02
0.194985 1.035988e+02
0.196073 5.008822e+01
0.197160 1.063225e+02
0.198247 9.967128e+01
0.199335 9.307885e+01
0.200422 9.615570e+01
0.201510 9.167119e+01
0.202597 1.038420e+02
0.203685 9.766145e+01
0.204772 1.013068e+02
0.205859 1.080122e+02
0.206947 1.037843e+02
0.208034 1.106300e+02
0.209122 1.047267e+02
0.210209 1.114051e+02
0.211297 1.106009e+02
0.212384 1.109821e+02
0.213472 9.956691e+01
0.214559 1.050638e+02
0.215646 1.080250e+02
0.216734 1.033010e+02
0.217821 1.053119e+02
0.218909 9.682781e+01
0.219996 1.078560e+02
0.221084 9.158284e+01
0.222171 1.009185e+02
0.223259 9.873698e+01
0.224346 1.005091e+02
0.225433 8.688755e+01
0.226521 1.012725e+02
0.227608 9.569313e+01
0.228696 1.058076e+02
0.229783 9.760422e+01
0.230871 1.076030e+02
0.231958 9.691474e+01
0.233046 9.126265e+01
0.234133 9.282710e+01
0.235220 9.075163e+01
0.236308 9.373125e+01
0.237395 8.771666e+01
0.238483 8.969079e+01
0.239570 9.203901e+01
0.240658 9.064612e+01
0.241745 9.739947e+01
0.242833 9.817066e+01
0.243920 9.832859e+01
0.245007 9.835237e+01
0.246095 1.036195e+02
0.247182 9.782826e+01
0.248270 1.015051e+02
0.249357 1.031780e+02
0.250445 1.129131e+02
0.251532 1.116150e+02
0.252619 1.056077e+02
0.253707 1.097211e+02
0.254794 1.046820e+02
0.255882 1.112743e+02
0.256969 1.157197e+02
0.258057 1.151422e+02
0.259144 1.196787e+02
0.260232 1.111804e+02
0.261319 1.138337e+02
0.262406 1.159366e+02
0.263494 1.155700e+02
0.264581 1.231958e+02
0.265669 1.215630e+02
0.266756 1.157032e+02
0.267844 1.193339e+02
0.268931 1.185861e+02
0.270019 1.191637e+02
0.271106 1.268223e+02
0.272193 1.235523e+02
0.273281 1.222471e+02
0.274368 1.223996e+02
0.275456 1.190822e+02
0.276543 1.181260e+02
0.277631 1.270945e+02
0.278718 1.257782e+02
0.279806 1.158210e+02
0.280893 1.266150e+02
0.281980 1.264562e+02
0.283068 1.222098e+02
0.284155 1.238754e+02
0.285243 1.246650e+02
0.286330 1.221252e+02
0.287418 1.240933e+02
0.288505 1.251951e+02
0.289593 1.214338e+02
0.290680 1.208923e+02
0.291767 1.239867e+02
0.292855 1.228278e+02
0.293942 1.201923e+02
0.295030 1.255086e+02
0.296117 1.227134e+02
0.297205 1.229461e+02
0.298292 1.246919e+02
0.299379 1.260002e+02
