# wavelength_um flux_jy
0.321000 6.430133e+01
0.321600 6.350805e+01
0.322200 6.301720e+01
0.322800 6.265602e+01
0.323400 6.258380e+01
0.324000 6.260465e+01
0.324600 6.239701e+01
0.325200 6.207204e+01
0.325800 6.180124e+01
0.326400 6.158567e+01
0.327000 6.129937e+01
0.327600 6.080583e+01
0.328200 6.032260e+01
0.328800 6.002531e+01
0.329400 5.960308e+01
0.330000 5.900673e+01
0.330600 5.867235e+01
0.331200 5.862026e+01
0.331800 5.842947e+01
0.332400 5.807684e+01
0.333000 5.786876e+01
0.333600 5.772979e+01
0.334200 5.747141e+01
0.334800 5.725457e+01
0.335400 5.708252e+01
0.336000 5.684024e+01
0.336600 5.670081e+01
0.337200 5.665066e+01
0.337800 5.653202e+01
0.338400 5.653004e+01
0.339000 5.652777e+01
0.339600 5.614771e+01
0.340200 5.566533e+01
0.340800 5.532186e+01
0.341400 5.495983e+01
0.342000 5.461494e+01
0.342600 5.389030e+01
0.343200 5.270240e+01
0.343800 5.223928e+01
0.344400 5.287585e+01
0.345000 5.351494e+01
0.345600 5.386842e+01
0.346200 5.428308e+01
0.346800 5.448528e+01
0.347400 5.445485e+01
0.348000 5.449935e+01
0.348600 5.446971e+01
0.349200 5.433488e+01
0.349800 5.421914e+01
0.350400 5.405491e+01
0.351000 5.391083e+01
0.351600 5.388573e+01
0.352200 5.378779e+01
0.352800 5.353030e+01
0.353400 5.330273e+01
0.354000 5.318818e+01
0.354600 5.313080e+01
0.355200 5.304722e+01
0.355800 5.286131e+01
0.356400 5.263174e+01
0.357000 5.248834e+01
0.357600 5.254985e+01
0.358200 5.277240e+01
0.358800 5.293745e+01
0.359400 5.293925e+01
0.360000 5.278866e+01
0.360600 5.260137e+01
0.361200 5.262795e+01
0.361800 5.273029e+01
0.362400 5.261139e+01
0.363000 5.246508e+01
0.363600 5.248108e+01
0.364200 5.245317e+01
0.364800 5.229815e+01
0.365400 5.217352e+01
0.366000 5.213398e+01
0.366600 5.211133e+01
0.367200 5.209084e+01
0.367800 5.214192e+01
0.368400 5.228784e+01
0.369000 5.248679e+01
0.369600 5.283420e+01
0.370200 5.345118e+01
0.370800 5.424198e+01
0.371400 5.514574e+01
0.372000 5.625404e+01
0.372600 5.737924e+01
0.373200 5.826714e+01
0.373800 5.913604e+01
0.374400 6.021243e+01
0.375000 6.127228e+01
0.375600 6.210700e+01
0.376200 6.296603e+01
0.376800 6.408734e+01
0.377400 6.500466e+01
0.378000 6.526467e+01
0.378600 6.542812e+01
0.379200 6.618767e+01
0.379800 6.733745e+01
0.380400 6.823745e+01
0.381000 6.851720e+01
0.381600 6.826221e+01
0.382200 6.805285e+01
0.382800 6.856215e+01
0.383400 6.982050e+01
0.384000 7.122069e+01
0.384600 7.214571e+01
0.385200 7.246205e+01
0.385800 7.234377e+01
0.386400 7.179495e+01
0.387000 7.088982e+01
0.387600 7.017598e+01
0.388200 7.019679e+01
0.388800 7.092311e+01
0.389400 7.192040e+01
0.390000 7.255010e+01
0.390600 7.257267e+01
0.391200 7.226708e+01
0.391800 7.194224e+01
0.392400 7.184274e+01
0.393000 7.195140e+01
0.393600 7.187262e+01
