# wavelength_um flux_jy
0.115602 3.837185e+01
0.116689 3.790750e+01
0.117777 3.023608e+01
0.118864 3.535635e+01
0.119952 2.415849e+01
0.121039 7.569676e+00
0.122126 1.419306e+01
0.123214 3.408513e+01
0.124301 4.465051e+01
0.125389 4.596304e+01
0.126476 4.359350e+01
0.127564 4.811924e+01
0.128651 4.724944e+01
0.129739 3.625180e+01
0.130826 4.424986e+01
0.131913 5.198919e+01
0.133001 4.264481e+01
0.134088 4.818005e+01
0.135176 5.098555e+01
0.136263 4.948518e+01
0.137351 4.783655e+01
0.138438 4.532261e+01
0.139526 3.463857e+01
0.140613 4.272606e+01
0.141700 4.521768e+01
0.142788 4.763497e+01
0.143875 4.941758e+01
0.144963 5.046011e+01
0.146050 4.958200e+01
0.147138 4.418609e+01
0.148225 4.439617e+01
0.149313 4.622388e+01
0.150400 4.174573e+01
0.151487 3.871777e+01
0.152575 4.060563e+01
0.153662 3.397634e+01
0.154750 2.656152e+01
0.155837 3.886769e+01
0.156925 3.936741e+01
0.158012 4.211016e+01
0.159099 4.366474e+01
0.160187 4.296516e+01
0.161274 4.201112e+01
0.162362 4.602403e+01
0.163449 4.927455e+01
0.164537 5.221169e+01
0.165624 5.130685e+01
0.166712 5.071701e+01
0.167799 5.474338e+01
0.168886 5.300523e+01
0.169974 5.255681e+01
0.171061 4.783128e+01
0.172149 4.416330e+01
0.173236 5.144600e+01
0.174324 4.935496e+01
0.175411 5.068143e+01
0.176499 5.333036e+01
0.177586 4.823780e+01
0.178673 5.203233e+01
0.179761 5.270201e+01
0.180848 5.358974e+01
0.181936 4.958283e+01
0.183023 5.271725e+01
0.184111 4.701019e+01
0.185198 4.163729e+01
0.186286 4.745304e+01
0.187373 5.179319e+01
0.188460 4.581813e+01
0.189548 4.240267e+01
0.190635 4.580528e+01
0.191723 4.386649e+01
0.192810 3.235166e+01
0.193898 4.671930e+01
0.194985 4.279753e+01
0.196073 2.447803e+01
0.197160 5.163932e+01
0.198247 3.847882e+01
0.199335 3.204267e+01
0.200422 3.261505e+01
0.201510 3.622717e+01
0.202597 3.922952e+01
0.203685 3.011482e+01
0.204772 3.359815e+01
0.205859 3.221302e+01
0.206947 3.401283e+01
0.208034 3.601310e+01
0.209122 3.117966e+01
0.210209 3.540954e+01
0.211297 3.481320e+01
0.212384 3.523062e+01
0.213472 3.498912e+01
0.214559 3.043176e+01
0.215646 3.607564e+01
0.216734 3.371621e+01
0.217821 3.714905e+01
0.218909 2.980504e+01
0.219996 3.734909e+01
0.221084 3.101401e+01
0.222171 3.828729e+01
0.223259 3.079240e+01
0.224346 3.754857e+01
0.225433 3.087645e+01
0.226521 3.996008e+01
0.227608 3.492198e+01
0.228696 3.975449e+01
0.229783 3.432460e+01
0.230871 4.537284e+01
0.231958 3.868214e+01
0.233046 3.747298e+01
0.234133 3.677199e+01
0.235220 3.925745e+01
0.236308 4.033205e+01
0.237395 4.046459e+01
0.238483 4.211312e+01
0.239570 4.100524e+01
0.240658 4.481668e+01
0.241745 4.203738e+01
0.242833 4.580229e+01
0.243920 4.444674e+01
0.245007 4.398097e+01
0.246095 4.593825e+01
0.247182 4.292032e+01
0.248270 4.715176e+01
0.249357 4.721672e+01
0.250445 4.736827e+01
0.251532 4.860408e+01
0.252619 4.634832e+01
0.253707 4.871204e+01
0.254794 4.285798e+01
0.255882 4.978679e+01
0.256969 4.820030e+01
0.258057 4.550481e+01
0.259144 5.072814e+01
0.260232 4.574555e+01
0.261319 4.731686e+01
0.262406 5.056649e+01
0.263494 4.743206e+01
0.264581 5.306894e+01
0.265669 5.220930e+01
0.266756 4.628848e+01
0.267844 5.062257e+01
0.268931 5.027067e+01
0.270019 4.794898e+01
0.271106 5.512673e+01
0.272193 4.987006e+01
0.273281 4.847144e+01
0.274368 5.501162e+01
0.275456 5.187043e+01
0.276543 5.206866e+01
0.277631 5.637188e+01
0.278718 5.227991e+01
0.279806 4.512864e+01
0.280893 5.177456e+01
0.281980 5.173817e+01
0.283068 4.903105e+01
0.284155 5.000255e+01
0.285243 5.005744e+01
0.286330 4.677127e+01
0.287418 5.085103e+01
0.288505 5.155399e+01
0.289593 4.956808e+01
0.290680 5.158658e+01
0.291767 5.290575e+01
0.292855 5.185402e+01
0.293942 5.011438e+01
0.295030 5.218128e+01
0.296117 5.246195e+01
0.297205 5.031580e+01
0.298292 5.018223e+01
0.299379 5.304963e+01
